human_readable_id,title,type,description,frequency,degree,text_unit_ids,suggested_schema_type,canonical_name,keep_in_controlled_kg,record_linkage_group,review_notes
22,WISSENSCHAFT,ORGANIZATION,"WISSENSCHAFT refers to Austria’s scientific community, including universities, research institutes, and other scientific organizations. The Wissenschaftssektor is actively involved in the development and assessment of new technologies, particularly in the field of the energy transition (Energiewende). These institutions play a pivotal role in both researching and implementing scientifically sound measures that support Austria’s shift towards sustainable energy. Specifically, WISSENSCHAFT contributes to the advancement and adoption of photovoltaic technologies and strategies, utilizing academic expertise and scientific methodology to guide innovation and practical application. Through this collaborative effort, Austria’s scientific sector ensures that energy transition measures are evidence-based and effective, thereby playing a crucial role in shaping the country’s future energy landscape.",2,5,"['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72'
 '50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e']",,,,,
23,WIRTSCHAFT,ORGANIZATION,"WIRTSCHAFT refers to Austria's economic and business sector, encompassing a wide range of companies and industries, including the photovoltaic (PV) industry. This sector is significantly impacted by ongoing changes such as the energy transition, which shapes both challenges and opportunities. The Wirtschaftssektor is not only affected by these transformations but also stands to benefit through innovation and growth, particularly as companies embrace new technologies and adapt to market demands. Within the context of Austria, WIRTSCHAFT plays a proactive role in driving advancements related to the energy transition by engaging in PV project implementation and supporting the broader adoption of renewable energy solutions. The sector demonstrates a commitment to collaboration, particularly in initiatives aimed at securing qualified professionals—a critical need to sustain growth and maintain competitiveness. By fostering innovation and investing in workforce development, Austria’s WIRTSCHAFT positions itself to enhance the country’s competitiveness in both national and international markets, especially within the PV sector. Overall, the economic and business sector in Austria is characterized by its adaptability, collaborative spirit, and dedication to technological progress amidst the challenges of the energy transition.",3,5,"['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72'
 '50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'
 '9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b']",,,,,
24,INTERESSENSVERTRETUNGEN,ORGANIZATION,"INTERESSENSVERTRETUNGEN are advocacy and interest groups in Austria, including organizations such as industry associations, stakeholder organizations, unions, and NGOs. They play a significant role in representing the interests of various parties involved in the implementation of photovoltaic (PV) technology and broader energy system changes. These groups actively contribute the perspectives and concerns of different societal segments to the energy policy decision-making process, ensuring that a diverse range of viewpoints and needs are considered. By participating in policy discussions, INTERESSENSVERTRETUNGEN help shape energy policy outcomes, promote stakeholder engagement, and support the integration of innovative energy solutions within the Austrian energy sector.",2,4,"['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72'
 '50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e']",,,,,
25,INTEGRIERTER ÖSTERREICHISCHER NETZINFRASTRUKTURPLAN (NIP),ORGANIZATION,"The INTEGRIERTER ÖSTERREICHISCHER NETZINFRASTRUKTURPLAN (NIP), or Integrated Austrian Network Infrastructure Plan, is a central and strategic planning document that provides a comprehensive framework for the development and expansion of Austria's energy network infrastructure. Serving as both a guideline and a planning authority, the NIP assesses and plans for the nation's energy grid needs, covering both electricity and gas networks. This crucial document plays a key role in aligning infrastructure development with Austria’s national energy targets and timelines.

The NIP identifies potential sites and infrastructure required for the integration and deployment of renewable energy sources across the country, such as photovoltaic installations, and includes projections for their expansion up to the year 2040. It analyzes various scenarios and assesses the potentials for expanding not only the electricity grid but also the broader energy network to support the transition to renewable energy. By mapping out possible developments and required actions, the NIP ensures that network expansion remains synchronized with Austria’s long-term goals for increasing the share of renewable energy in its energy mix.

Furthermore, the NIP serves as a foundational resource for policymakers, regulators, and industry stakeholders by providing detailed projections, site assessments, and coordination of network development measures. This integrated approach helps Austria to efficiently plan, invest in, and implement the necessary infrastructure changes to achieve climate and energy objectives, thereby supporting the country’s commitment to a sustainable and secure energy future.",4,6,"['50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'
 'f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'
 '41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'
 '6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302']",,,,,
26,PHOTOVOLTAIK-STRATEGIE,EVENT,"Die österreichische Photovoltaik-Strategie ist ein umfassendes, anpassbares Planungs- und Steuerungsdokument, das Ziele, Maßnahmen und Effekte für den Ausbau der Photovoltaik bis 2040 beschreibt und regelt.",1,6,['50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'],,,,,
27,EU-EMISSIONSHANDEL,ORGANIZATION,Der EU-Emissionshandel ist das zentrale europäische Instrument zur Bepreisung und Reduktion von CO₂-Emissionen für besonders energieintensive Sektoren.,1,1,['50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'],,,,,
28,EUROPÄISCHE UNION,ORGANIZATION,"The EUROPÄISCHE UNION (European Union, EU) is a political and economic union currently comprising 27 member states across Europe. It functions as a Staatenverbund (association of states) whose legal frameworks and research programs have a significant impact on the implementation of climate and energy transition policies in member countries, such as Austria. The EU sets binding, overarching targets related to renewable energy development, nature conservation, and energy efficiency for all its members. In this context, it establishes legislative and regulatory instruments—including directives like RED III (Renewable Energy Directive III) and supporting laws such as the Nature Restoration Law—which guide national policies and legislation. Through these measures, the EU plays a central role in shaping the climate, energy, and environmental strategies within its territory, ensuring coordinated progress towards sustainability and climate neutrality among its member states.",2,4,"['50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'
 '41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912']",,,,,
29,FORSCHUNGSRAMMENPROGRAMM,EVENT,"Das Europäische Forschungsrahmenprogramm ist das umfassende EU-Programm für Forschung und Innovation, das als Leitbild für die Entwicklung des österreichischen Wirtschaftsstandortes dient.",1,1,['50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'],,,,,
30,LANDESREGIERUNGEN,ORGANIZATION,Österreichische Landesregierungen sind für die Umsetzung der Energiewende und die Beteiligung an bundeslandspezifischen Maßnahmen zuständig.,1,2,['50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'],,,,,
31,GEMEINDEN,ORGANIZATION,Österreichische Gemeinden spielen eine Schlüsselrolle bei der Umsetzung erneuerbarer Energien und der Transformation auf lokaler Ebene.,1,2,['50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'],,,,,
32,NETZBETREIBER,ORGANIZATION,"Netzbetreiber sind für den Betrieb, Ausbau und die Zuverlässigkeit des Stromnetzes in Österreich zuständig, insbesondere im Zuge des Ausbaus erneuerbarer Energien.",1,1,['50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'],,,,,
33,ELEKTROTECHNISCHE NORMUNGSORGANISATION,ORGANIZATION,Elektrotechnische Normungsorganisationen legen technische Standards für den sicheren Ausbau und Betrieb von PV-Anlagen und anderen energietechnischen Einrichtungen fest.,1,1,['50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'],,,,,
34,STROMMARKT,EVENT,"Der Strommarkt bezeichnet den Handelsplatz für elektrische Energie, an dem durch die Energiewende neue Rollen für Bürger:innen als aktive Marktteilnehmer entstehen.",1,1,['50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'],,,,,
35,REGIERUNGSPROGRAMM,EVENT,"Das Regierungsprogramm umfasst die politischen Zielvorgaben und Maßnahmen der Bundesregierungen in Österreich für Klimaschutz, Energiewende und Innovation.",1,1,['50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'],,,,,
36,PHOTOVOLTAIK-AUSBAU,EVENT,"Der Ausbau der Photovoltaik in Österreich ist ein laufender Prozess mit dem Ziel, bis 2040 einen maßgeblichen Anteil der Energieversorgung durch Sonnenenergie zu erzielen.",1,2,['50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'],,,,,
37,BUNDESLÄNDER,GEO,"The ""Bundesländer"" are the federal states within Austria, functioning as subnational administrative regions. Each Bundesland is responsible for setting and implementing ambitious targets for the expansion of renewable energy infrastructure, including photovoltaic systems. They play a central role in Austria's renewable energy strategies, holding primary jurisdiction over areas such as building and spatial planning, and nature conservation. Additionally, the Bundesländer are integral in supporting regional aspects of energy strategy; this includes aiding energy communities by providing advisory centers and implementation support. Collectively, the Bundesländer are crucial to achieving Austria's renewable energy objectives, working both independently and collaboratively to meet national and regional targets for sustainable energy development.",4,11,"['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 'e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 '23663988970639bea940978ccbd9150fd292856f2f31a1d587392606a64713d5dfeade66f1beea67d1cc0b0e93012337685e0eca3267f98c1695a466657a8b24'
 'dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750']",,,,,
38,PV-ANLAGE,ORGANIZATION,"PV-ANLAGE (Photovoltaic system) refers to decentralized solar power generation installations that are widely deployed in Austria for electricity production across buildings and infrastructure. Collectively, PV-ANLAGE encompasses various types of photovoltaic (PV) installations or plants, which play an essential role in the renewable electricity production sector of Austria. Photovoltaic installations under PV-ANLAGE include a range of system types such as rooftop systems, building-integrated photovoltaics, freestanding solar plants, and community PV systems. These installations are designed to generate solar energy primarily for local consumption, but they are also capable of storing energy and exporting surplus electricity to the grid. By contributing clean, renewable energy, PV-ANLAGE supports Austria’s efforts in advancing sustainable energy solutions and reducing reliance on fossil fuels.",3,20,"['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 'e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 '41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912']",,,,,
39,BIOENERGIE,ORGANIZATION,"BIOENERGIE refers to the sector in Austria dedicated to the generation and use of renewable energy derived from biological sources, such as biomass. This sector plays a key role in Austria’s overall renewable energy supply, harnessing various organic materials—including agricultural byproducts, wood, and other biological matter—to produce energy. The use of bioenergy not only supports Austria’s efforts to diversify its energy portfolio and increase sustainability, but also complements other renewable energy sources within the country. As an integral component of Austria’s renewable energy strategy, BIOENERGIE contributes to reducing dependence on fossil fuels and lowering greenhouse gas emissions, thereby supporting environmental and climate goals.",2,2,"['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 'e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757']",,,,,
40,WASSERKRAFT,ORGANIZATION,"WASSERKRAFT, also known as hydropower, is a renewable energy source that significantly contributes to Austria's electricity generation. Representing hydropower generation facilities and operations, WASSERKRAFT plays a major role in the country's renewable electricity sector, highlighting its importance in Austria's overall energy mix.",2,2,"['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 'e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757']",,,,,
41,WINDENERGIE,ORGANIZATION,"WINDENERGIE refers to the wind energy sector in Austria, which is a significant contributor to the country’s renewable electricity supply. As a vital component of Austria’s national renewable energy mix, WINDENERGIE plays an important role in advancing sustainable energy production and supporting Austria's goals for cleaner, greener power generation.",2,2,"['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 'e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757']",,,,,
42,GRÜNER WASSERSTOFF,ORGANIZATION,"Grüner Wasserstoff, or green hydrogen, refers to hydrogen produced by using renewable electricity, such as that generated from solar power and other renewable energy sources. In Austria, grüner Wasserstoff is specifically produced via renewable methods, including solar energy, making it a sustainable and environmentally friendly alternative to conventional hydrogen production techniques. This form of hydrogen serves as an energy carrier, enabling the storage of surplus electricity generated from photovoltaic (PV) systems and other renewable sources. Additionally, grüner Wasserstoff is intended for both storage and export, helping to stabilize the energy supply and offering opportunities for Austria to utilize or share excess renewable energy resources.",2,1,"['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 'e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757']",,,,,
43,ENERGIEGEMEINSCHAFTEN,ORGANIZATION,"ENERGIEGEMEINSCHAFTEN (energy communities) are formal or informal organizations or associations composed of citizens, companies, or localities that collaborate to generate, share, and use renewable energy, with a particular focus on photovoltaic (PV) power. Functioning primarily at the local or community level, these groups enable members to jointly produce, store, and consume electricity, often through the integration of PV and storage solutions within neighborhoods or districts.

In Austria, Energiegemeinschaften are legally enabled entities that support the decentralized production and use of renewable energy, such as solar power. They allow residents and companies to participate in the collective development, management, and utilization of renewable energy projects, thereby encouraging local engagement and promoting energy autonomy. By facilitating joint action, these communities not only contribute to value creation for their members but also play a crucial role in Austria’s transition toward decentralized power systems and the broader expansion of community-driven PV installations.

Overall, Energiegemeinschaften serve as a key driver for sustainable energy practices, empowering various stakeholders to take an active role in the energy transition and reinforcing community-level participation in renewable energy generation, storage, and consumption.",6,14,"['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 'e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 'f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'
 '2d9fdebd364caf6ea226dc0ee6624e0c2d54fc65848a9cd18f9b868675333d5be302c20a6cbb1b4f9503e536f5051a60a8783cd3657ab2cf1f9daf65be366c76'
 'dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750'
 '05802f69e17001a506260c74ca400f6a1368fbf0132720e670d13ffd39c31d615ca94e0ffc071332bd317faa48542bde7970720b9f035d496136fc5d6bbb8ca5']",,,,,
44,FREIFLÄCHEN-BIODIVERSITÄTSANLAGEN,ORGANIZATION,"FREIFLÄCHEN-BIODIVERSITÄTSANLAGEN are large-scale, ground-mounted photovoltaic (PV) parks located in Austria. These installations are purposefully designed not only for the generation of electricity but also to foster biodiversity and support ecological restoration. By integrating solar energy production with the simultaneous creation and preservation of natural habitats, Freiflächen-Biodiversitätsanlagen contribute to habitat diversity. Their dual function ensures that the implementation of renewable energy infrastructure goes hand-in-hand with ecological enhancements, making them a pioneering approach to sustainable land use in the context of Austria’s transition to renewable energy sources.",2,2,"['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 'e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757']",,,,,
45,AGRI-PV-ANLAGEN,ORGANIZATION,"AGRI-PV-ANLAGEN are agricultural photovoltaic installations, also known as agrivoltaic systems, that integrate solar energy generation with active agricultural activities on the same land area. These systems are designed to enable simultaneous farming and electricity production by installing photovoltaic panels within agricultural fields or on farmland. By combining the dual use of land for both crop cultivation or livestock grazing and solar power generation, AGRI-PV-ANLAGEN help enhance land-use efficiency and support the economic resilience of farms through diversified income streams.

In Austria, AGRI-PV-ANLAGEN are promoted in line with the country's renewable energy expansion laws, which provide subsidies for agrivoltaic projects as long as the agricultural productivity of the land is only minimally affected. This legislative framework encourages the adoption of photovoltaic technology within agricultural landscapes while ensuring that farming remains a principal activity. The goal is to maintain high standards of agricultural output alongside renewable electricity generation, contributing to sustainable rural development and the broader transition toward clean energy.

Overall, AGRI-PV-ANLAGEN represent an innovative approach to land management that aligns with both environmental and economic objectives. By integrating photovoltaic systems with agricultural operations, these installations help farmers increase their income, support the expansion of renewable energy, and optimize the use of available land resources.",4,5,"['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 'e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 'f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'
 '41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912']",,,,,
46,SOLARINDUSTRIE,ORGANIZATION,"SOLARINDUSTRIE, referring to the solar power industry in Austria and across Europe, encompasses a broad spectrum of activities including research, manufacturing, deployment, and export of solar technologies. Within Austria, the solar industry (Solarindustrie) is composed of manufacturers, exporters, and technology developers specializing in photovoltaic (PV) technologies. This industry plays a significant role in advancing innovation and maintaining international competitiveness, both by developing cutting-edge solar solutions and by engaging in the export of technologies to global markets. Through its focus on research and development, manufacturing excellence, and export activities, SOLARINDUSTRIE is a key contributor to the growth of renewable energy in Austria and throughout Europe.",2,2,"['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 'e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757']",,,,,
47,PV-WERTSCHÖPFUNGSKETTE,ORGANIZATION,"The PV-WERTSCHÖPFUNGSKETTE, also known as the PV value chain, encompasses all stages of innovation, production, and deployment within Austria’s photovoltaic sector. This value chain includes a comprehensive range of activities, starting from the initial stages of research and technological innovation, progressing through the manufacturing of photovoltaic (PV) technology, followed by its deployment and installation. Additionally, the PV-WERTSCHÖPFUNGSKETTE covers the end-of-life processes of PV technology, such as recycling, ensuring that the full lifecycle of photovoltaic products is addressed within Austria’s solar energy industry.",2,2,"['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 'e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757']",,,,,
48,BIODIVERSITÄTS-SOLARPARKS,ORGANIZATION,"Biodiversitäts-Solarparks are specialized solar parks designed not only for electricity generation but also to provide significant ecological benefits. These solar parks are intentionally developed to foster biodiversity and support the restoration of natural habitats, creating environments that promote the presence and flourishing of a variety of plant and animal species. By integrating renewable energy production with ecological enhancements, Biodiversitäts-Solarparks offer a dual function: delivering clean electricity while supporting the conservation and restoration of local ecosystems.",2,2,"['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 'e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757']",,,,,
49,FACHKRÄFTE,PERSON,"""FACHKRÄFTE"" refers to highly qualified and skilled professionals, specialists, and workers who possess technical or vocational expertise within the photovoltaic (PV) and broader renewable energy sector in Austria. These individuals play essential roles in the installation, manufacturing, and operation of PV technology. The term encompasses both those currently active in the industry and those targeted for continued development and retention in order to support Austria's PV industry. FACHKRÄFTE are central to advancing the adoption and maintenance of PV technologies and ensuring the continued growth and innovation within the Austrian renewable energy sector.",3,2,"['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 'e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 '9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b']",,,,,
50,HANDWERKSBETRIEBE,ORGANIZATION,"HANDWERKSBETRIEBE are artisan and craft enterprises that play a crucial role in Austria's renewable energy landscape, particularly within the photovoltaic (PV) sector. As skilled craft and trade businesses, Handwerksbetriebe offer a wide range of services including the installation, maintenance, and technological support for PV systems and related technologies. They are characterized by their expert knowledge and practical experience, ensuring reliable and high-quality execution of technical tasks critical for the deployment and ongoing operation of solar energy systems.

In response to the growing emphasis on sustainable energy, Handwerksbetriebe have increasingly positioned themselves as innovative contributors to the renewable energy market in Austria. Their adaptability and skill set allow them to capitalize on the expanding opportunities within the PV sector. These enterprises not only install and maintain PV systems, but often take an active role in integrating new technological advancements and optimizing system performance, thereby driving forward the transition to cleaner energy sources.

In summary, Handwerksbetriebe are key players in Austria’s move toward renewable energy, providing indispensable expertise and practical services for PV systems while continually adopting innovations to meet the evolving demands of the sector.",3,1,"['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 'e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 '7a01190bcf30936758d004f89d7553c62632e91427f92e6420a9e453f2c5d92ab18ae9e62c46bc28aeb398621b28cfd3af89bf2317c887a5eec276b5b7a51052']",,,,,
51,AKTIVER KUNDE,PERSON,"AKTIVER KUNDE (“Active Customer”) refers to a legal or natural person, as defined under Article 15 of EU Directive 2019/944, who is entitled to participate directly in electricity markets. The term primarily applies to residents or consumers who actively engage in the production, self-consumption, and management of electricity—most commonly through personal or shared photovoltaic (PV) installations. An Aktiver Kunde not only produces and consumes their own electricity, often serving as a prosumer, but may also share electricity with others within a community or participate in collective PV initiatives. Through these activities, active customers can influence market dynamics and grid stability, either individually or as part of a broader energy community. Overall, an Aktiver Kunde plays a significant role in the evolving energy landscape by contributing to decentralized energy production, enhancing renewable energy uptake, and supporting the effective functioning of both local and broader electricity networks.",3,3,"['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 'e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 'f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a']",,,,,
52,GEBÄUDEAUSSENTEILE,ORGANIZATION,Building exteriors (Gebäudeaußenteile) in Austria are now commonly used for weather protection as well as for integrated PV power generation.,1,1,['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],,,,,
53,UMWELTBUNDESAMT,ORGANIZATION,"Umweltbundesamt is Austria's Environment Agency. It provides scientific and analytical support, prepares scenarios for greenhouse gases and energy, and informs policy, including the ""Transition 2040"" scenario noted in the context of PV expansion projections.",1,2,['f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'],,,,,
54,EUROPÄISCHES PARLAMENT UND RAT,ORGANIZATION,"The European Parliament and Council (""Europäisches Parlament und Rat"") are legislative institutions of the European Union, responsible for setting EU directives, including the 2019/944 regulation on rules for the internal electricity market referenced in the text.",1,1,['f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'],,,,,
